ax,ay,bx,by,ax2,ay2
-0.005952380952,0.005988023952,168,167,-0.9524038453,0.5569545695
0.006134969325,-0.006535947712,163,153,-0.02439928621,0.779334952
-0.005917159763,-0.007751937984,169,129,0.496991875,0.2968461412
0.005464480874,-0.007194244604,183,139,0.956523938,-0.7785093473
0.005263157895,-0.007299270073,190,137,0.2868141824,0.06169936292
0.005128205128,0.005586592179,195,179,0.2312168453,-0.3502249965
0.005464480874,0.005235602094,183,191,0.3513497708,-0.6619750342
-0.007575757576,-0.006211180124,132,161,-0.595980861,-0.7459003354
0.005464480874,0.007299270073,183,137,0.4426526016,0.611217237
0.007936507937,-0.005780346821,126,173,-0.4865185229,0.04241130535
-0.007874015748,-0.007352941176,127,136,0.4617153239,-0.8543638468
0.005494505495,0.005586592179,182,179,-0.2015795993,-0.251757445
-0.01052631579,-0.005952380952,95,168,0.1966676786,-0.5957058838
-0.008403361345,-0.005076142132,119,197,0.8538414944,0.07797746437
0.00518134715,0.006060606061,193,165,0.5307826084,-0.4381121954
-0.005617977528,-0.005347593583,178,187,0.7119343451,-0.9208376408
0.006211180124,-0.01204819277,161,83,-0.6728822984,-0.2691646099
0.01204819277,-0.006060606061,83,165,-0.1504880894,0.2506367491
-0.005405405405,0.005747126437,185,174,-0.8421065813,-0.8747306081
0.00518134715,-0.005025125628,193,199,-0.4833620782,-0.02137350642
0.005076142132,-0.005025125628,197,199,0.358582208,-0.6063597177
0.005988023952,0.00518134715,167,193,-0.5198100161,0.6777127064
0.006134969325,-0.009523809524,163,105,-0.2027615009,0.07662919132
-0.005128205128,-0.009708737864,195,103,0.4301080184,0.9543764254
0.006211180124,0.005128205128,161,195,0.664802247,-0.3329196078
0.005025125628,0.005780346821,199,173,0.9817479736,0.7758677269
0.007092198582,-0.01785714286,141,56,-0.6973458537,-0.07602331517
-0.006578947368,0.005649717514,152,177,-0.4720997805,0.3237005519
0.005524861878,-0.005714285714,181,175,0.2320380383,-0.9390800483
0.01052631579,-0.005649717514,95,177,0.5609112325,-0.09465603738
0.005235602094,0.008,191,125,0.9872345396,0.2862424234
-0.006622516556,0.005917159763,151,169,0.2276157866,0.7434763599
0.00518134715,-0.006622516556,193,151,-0.1199599649,0.9714257102
-0.006896551724,-0.006993006993,145,143,-0.2283654447,0.4161880938
-0.006756756757,0.01886792453,148,53,-0.8488460475,0.8448203884
-0.005464480874,0.005076142132,183,197,0.4653447539,0.148290188
-0.00518134715,-0.008849557522,193,113,0.9594415826,0.542160006
-0.007874015748,-0.008849557522,127,113,0.5631469262,-0.8620579432
0.005586592179,0.009345794393,179,107,0.8052348276,0.412397227
0.005405405405,-0.008849557522,185,113,-0.0987470489,0.4984029627
-0.006060606061,0.009174311927,165,109,0.05883661995,-0.9417972957
0.005780346821,-0.005714285714,173,175,0.8235900512,-0.1129826492
-0.005347593583,0.005025125628,187,199,0.7590783663,-0.75129017
-0.007299270073,0.009523809524,137,105,-0.9657453569,0.979606225
-0.005649717514,0.01,177,100,0.5216251022,0.7822207231
-0.005917159763,0.006535947712,169,153,-0.6981745738,-0.17795451
0.005464480874,-0.007299270073,183,137,-0.5121701177,-0.6333101379
0.006993006993,-0.007633587786,143,131,-0.92512512,-0.6523787436
-0.005917159763,-0.005714285714,169,175,-0.01202233578,-0.8159821567
-0.007092198582,-0.007874015748,141,127,0.2588215181,0.471652101
0.005319148936,0.01587301587,188,63,0.7798743138,-0.01560999763
0.005347593583,-0.005649717514,187,177,-0.6938238806,-0.3780020097
0.005649717514,-0.01098901099,177,91,0.3885874298,-0.1476702985
-0.006622516556,-0.007874015748,151,127,-0.4321344889,0.2712027168
0.01098901099,0.006896551724,91,145,0.6432582515,-0.5491154366
0.005291005291,0.006134969325,189,163,-0.5806239958,0.2364483926
0.00625,-0.006711409396,160,149,0.08166609149,-0.2713042251
0.006369426752,0.006622516556,157,151,-0.199575614,0.8808637163
0.006451612903,0.007518796992,155,133,0.4580536295,-0.6075630229
-0.005128205128,-0.005235602094,195,191,-0.267094963,0.8729052149
0.01030927835,-0.005464480874,97,183,0.04410405931,-0.2191837955
-0.005263157895,0.005524861878,190,181,0.6940613862,-0.7736558647
-0.005128205128,-0.00518134715,195,193,0.5627242908,-0.6554538405
-0.006134969325,0.005917159763,163,169,0.2121827964,-0.6982905808
-0.007633587786,0.005917159763,131,169,0.3629222454,-0.6330837398
-0.00518134715,-0.007299270073,193,137,0.05987878154,0.3059817287
-0.007352941176,0.005291005291,136,189,-0.008789554088,-0.416308989
-0.005714285714,0.005464480874,175,183,0.8715512002,0.7246901674
0.01923076923,0.005988023952,52,167,0.1418168211,0.774853747
0.007352941176,-0.009523809524,136,105,0.5418485107,-0.2524298384
0.005076142132,0.008474576271,197,118,0.1580432801,-0.2790742695
-0.006711409396,-0.007633587786,149,131,-0.9602634475,0.4684863712
-0.005405405405,0.007299270073,185,137,-0.952560755,0.2686418739
-0.005076142132,0.00826446281,197,121,0.8259741886,-0.3120318076
0.007518796992,-0.01086956522,133,92,0.6138462669,-0.2904035293
-0.007194244604,-0.006451612903,139,155,-0.1109950945,0.2561476846
-0.006896551724,-0.005952380952,145,168,-0.4235653216,0.2089341805
-0.006896551724,-0.005847953216,145,171,0.2544500415,0.8725941055
0.007518796992,0.005524861878,133,181,0.5593546009,0.4405318023
-0.006711409396,-0.005076142132,149,197,0.6880830135,0.9515236552
0.008,0.008849557522,125,113,-0.1093579858,-0.1776281716
0.005235602094,0.005347593583,191,187,-0.5738933862,-0.102174081
-0.005813953488,0.007407407407,172,135,-0.5928822111,-0.5613942067
0.009345794393,0.005025125628,107,199,-0.9086801617,0.8652897783
-0.005291005291,-0.005524861878,189,181,0.3746345637,-0.6726750605
0.006622516556,0.005291005291,151,189,-0.3670336824,-0.5776305413
-0.005586592179,0.005988023952,179,167,-0.5037175825,-0.591684529
-0.00826446281,0.01149425287,121,87,0.7353316594,-0.5557964517
0.006622516556,-0.006993006993,151,143,0.8609932978,-0.6716831017
-0.005988023952,0.005347593583,167,187,0.2911712259,0.8392575561
0.005649717514,0.005780346821,177,173,-0.007399149591,0.8465008199
0.008403361345,-0.006289308176,119,159,0.03538576021,0.9849959952
-0.006211180124,-0.005154639175,161,194,-0.7754909278,-0.2351072865
-0.005847953216,0.008474576271,171,118,-0.9850006387,-0.3140635228
0.00518134715,-0.005235602094,193,191,-0.9909181369,0.9328553612
0.007633587786,0.005952380952,131,168,-0.2167904906,0.9960704237
0.01492537313,-0.006849315068,67,146,0.5171343499,0.5775631122
-0.006993006993,-0.007751937984,143,129,0.4825430998,-0.3786437459
-0.005464480874,-0.007692307692,183,130,0.3512655097,-0.8469678235
0.007462686567,-0.005235602094,134,191,0.02086429897,0.5141817578
0.006622516556,-0.005154639175,151,194,0.3774350186,0.6191586816
-0.01408450704,0.0119047619,71,84,-0.9101880758,0.7653702454
0.005524861878,0.006535947712,181,153,0.3137364893,-0.2960983573
0.005988023952,-0.00518134715,167,193,0.2845822756,-0.7287424304
-0.006451612903,0.006493506494,155,154,-0.6669573122,0.65636257
0.005347593583,-0.005128205128,187,195,-0.9552300377,-0.7321142418
-0.005347593583,0.006211180124,187,161,0.3184682484,-0.3730685333
0.005649717514,0.005988023952,177,167,0.1167486081,0.7882747994
-0.005347593583,0.008196721311,187,122,0.5731504387,-0.9779696089
0.006622516556,-0.006097560976,151,164,-0.4631055684,-0.3327179265
-0.00518134715,0.005988023952,193,167,0.2341548923,0.1565250811
0.006451612903,0.009900990099,155,101,-0.1414317753,0.10735571
0.005714285714,-0.007633587786,175,131,-0.4512272038,-0.11545075
-0.005917159763,0.005,169,200,0.2089417603,0.1844686219
-0.00518134715,0.005128205128,193,195,0.317075033,0.3612256741
0.005464480874,0.006134969325,183,163,-0.322598687,0.2096820395
-0.006060606061,0.006711409396,165,149,-0.6493138568,0.6902791996
0.008849557522,-0.005988023952,113,167,0.9388302561,-0.7429521315
-0.006024096386,-0.005780346821,166,173,0.4609533399,-0.4513958393
0.005524861878,0.005586592179,181,179,-0.4844085836,-0.9884878617
0.005847953216,-0.008695652174,171,115,-0.5055000149,-0.8325745809
0.005917159763,-0.005747126437,169,174,0.5735946548,-0.1930223885
0.0625,-0.005847953216,16,171,0.3446373647,0.2060132584
0.006289308176,-0.005586592179,159,179,-0.8906241556,0.2833622778
-0.005780346821,0.006944444444,173,144,-0.9990925644,-0.9008723871
-0.007194244604,-0.006535947712,139,153,0.3914708076,0.6670044841
0.006993006993,0.00518134715,143,193,-0.7607077344,-0.8672198231
0.006535947712,0.005586592179,153,179,0.2674601332,-0.04431408691
0.007518796992,-0.006369426752,133,157,-0.8602627772,-0.4559643372
-0.01694915254,-0.0625,59,16,0.7337336088,-0.1730359755
-0.005291005291,-0.006024096386,189,166,0.6455438764,0.5026400213
0.01492537313,-0.005464480874,67,183,0.4567629028,0.8551649995
0.005649717514,-0.005714285714,177,175,-0.8033786249,0.3730841146
0.005128205128,-0.005347593583,195,187,-0.1274457832,0.6166487844
-0.007246376812,0.005076142132,138,197,-0.1801866015,0.6044117761
0.005586592179,0.008064516129,179,124,-0.2716574342,0.2616606383
0.007092198582,-0.005154639175,141,194,-0.899306588,-0.6713407
-0.005291005291,-0.005076142132,189,197,-0.260528896,0.9762883635
-0.005464480874,0.005154639175,183,194,0.5832262159,0.02551194958
0.005347593583,0.00641025641,187,156,0.2631824537,0.5995072752
-0.005586592179,-0.007874015748,179,127,-0.7965427036,0.08878317917
-0.006289308176,-0.006369426752,159,157,-0.4045700389,0.6865123135
0.006578947368,0.005524861878,152,181,0.3820450041,0.1691743004
0.007692307692,0.005076142132,130,197,-0.1205943773,-0.2637470076
0.005076142132,0.005988023952,197,167,0.6052218806,-0.7662159536
0.005076142132,0.005681818182,197,176,-0.4381573149,-0.6060004908
0.005263157895,0.008403361345,190,119,-0.8740411912,0.9869122755
-0.006849315068,0.006289308176,146,159,-0.4104691073,0.3847126465
-0.00826446281,-0.01149425287,121,87,0.6648501089,-0.509679328
0.007751937984,-0.006211180124,129,161,0.7837722067,0.9266961492
0.006134969325,0.008547008547,163,117,-0.08955169943,0.9544499259
0.00518134715,0.005128205128,193,195,-0.534956711,0.4474014979
