ax,ay,bx,by,ax2,ay2,fx,fy
-0.01492537313,-0.01052631579,67,95,-0.1379087571,-0.5556100181,0,0
0.015625,-0.01149425287,64,87,-0.9344729063,-0.541394807,0,0
-0.01176470588,0.01075268817,85,93,0.1334047588,-0.35606311,0,0
-0.02040816327,-0.01123595506,49,89,-0.9298819948,-0.6187551714,0,0
-0.01785714286,0.01052631579,56,95,0.3200080826,-0.6704698406,0,0
0.01265822785,0.01052631579,79,95,0.2213662103,-0.1333959139,0,0
0.01369863014,-0.01234567901,73,81,0.9471236786,0.7755269683,0,0
0.0303030303,-0.01265822785,33,79,0.2163865043,0.4652840662,0,0
0.01162790698,0.01030927835,86,97,-0.3837316528,-0.302865495,0,0
-0.01219512195,-0.01075268817,82,93,0.3809783104,-0.1376414207,0,0
-0.01234567901,-0.01052631579,81,95,-0.399497557,0.7686081501,0,0
-0.01098901099,-0.0101010101,91,99,0.8455666652,0.161865986,0,0
0.01587301587,-0.01123595506,63,89,-0.5550721857,0.03442212763,0,0
-0.01492537313,-0.01052631579,67,95,-0.09506308747,-0.6758322502,0,0
0.01204819277,-0.01075268817,83,93,-0.1454855692,0.732352678,0,0
-0.01176470588,0.01123595506,85,89,0.7070003467,0.4445115497,0,0
-0.01408450704,0.04347826087,71,23,-0.3712787846,-0.9465403891,0,0
-0.01204819277,0.01052631579,83,95,-0.6690804035,-0.8726393345,0,0
-0.01052631579,-0.01098901099,95,91,-0.9432093649,0.1803920207,0,0
0.0101010101,0.01408450704,99,71,-0.6803166871,0.206781019,0,0
-0.01754385965,0.01492537313,57,67,0.7288265999,-0.01181375271,0,0
0.01030927835,0.01234567901,97,81,0.9734552979,-0.6171816228,0,0
0.02173913043,-0.01886792453,46,53,-0.9112365765,-0.7095833481,0,0
-0.01298701299,-0.01538461538,77,65,0.1979782637,0.7331092698,0,0
0.01075268817,-0.01886792453,93,53,-0.4341787244,0.5014744918,0,0
0.0101010101,0.01052631579,99,95,-0.7082980703,-0.8928173587,0,0
0.01149425287,-0.01123595506,87,89,0.2817714984,0.1954422568,0,0
-0.01492537313,0.01666666667,67,60,-0.9370222076,0.7803452504,0,0
-0.01369863014,-0.0101010101,73,99,-0.8465505781,0.2399743319,0,0
-0.01265822785,-0.01492537313,79,67,-0.7912598877,-0.6652007474,0,0
-0.01111111111,-0.0243902439,90,41,-0.7494184797,0.0469318852,0,0
-0.01098901099,0.01234567901,91,81,-0.3076543132,0.1549610206,0,0
-0.0101010101,-0.01265822785,99,79,-0.9257005683,-0.3449339891,0,0
-0.02222222222,-0.02127659574,45,47,-0.930308458,0.2273434137,0,0
-0.01063829787,0.01052631579,94,95,-0.563380728,0.5983428079,0,0
0.01020408163,-0.01960784314,98,51,0.8903270493,0.04886899101,0,0
-0.01030927835,0.01123595506,97,89,0.4295564309,0.3174325224,0,0
-0.01694915254,-0.01851851852,59,54,0.2407893103,0.04987101274,0,0
0.02127659574,-0.01724137931,47,58,-0.8366628614,-0.2667907033,0,0
-0.01408450704,-0.01265822785,71,79,0.03694634567,0.2685125479,0,0
0.01587301587,0.01818181818,63,55,-0.7943900983,0.2994327428,0,0
-0.01694915254,0.01754385965,59,57,-0.694586513,0.619607092,0,0
0.01694915254,-0.01020408163,59,98,-0.6255299583,-0.3682967093,0,0
0.05882352941,-0.02173913043,17,46,0.3814966341,0.6391556418,0,0
-0.01,0.01075268817,100,93,0.06201403407,-0.2289250999,0,0
0.01041666667,0.01176470588,96,85,0.4879441891,-0.7111878893,0,0
0.01369863014,0.015625,73,64,0.6275456148,-0.08998106906,0,0
-0.01030927835,0.01098901099,97,91,-0.5570726744,0.7518562245,0,0
-0.01315789474,-0.01298701299,76,77,0.7576550149,-0.3516164305,0,0
-0.01098901099,0.01234567901,91,81,0.449382965,-0.02753193531,0,0
